0.393251 behind	324	-9.8042590982	-9.80304536091	0.00121373729089
1.04243 novel	16	-12.8555612229	-12.7904093848	0.0651518381162
1.07874 namely	28	-12.4035760992	-12.4421026905	0.0385265913586
1.36012 keeps	73	-11.3049638105	-11.286331988	0.0186318224813
1.89538 whereupon	4	-14.1083241914	-14.582168854	0.473844662616
1.95999 eg	53	-11.505634506	-11.4686535448	0.0369809611495
2.63583 qv	2	-14.801471372	-13.4835565654	1.31791480661
2.73242 apart	174	-10.4707380317	-10.455034469	0.0157035627022
3.07526 thus	309	-9.89619659353	-9.88624430477	0.0099522887616
3.25853 rd	451	-9.39879399009	-9.40601912145	0.00722513135498
3.50098 seeming	3	-14.1083241914	-15.2753160346	1.16699184318
3.62947 greetings	139	-10.4974062788	-10.4712949898	0.0261112889126
3.80763 hers	5	-13.4151770108	-14.1767037459	0.761526735068
4.00474 moreover	93	-11.1379097258	-11.1809714724	0.043061746524
4.38211 beforehand	13	-13.4151770108	-13.0780914572	0.3370855536
6.08641 causes	75	-11.3674841675	-11.286331988	0.0811521794627
6.37132 same	1711	-8.04920099582	-8.04547725643	0.00372373939303
6.52694 seriously	107	-10.9948088822	-11.0558083294	0.0609994472107
7.31595 being	2107	-7.7618110221	-7.75833880998	0.00347221212577
7.87736 wherein	8	-13.1920334595	-14.1767037459	0.984670286382
8.20889 besides	87	-11.1379097258	-11.2322647667	0.0943550409116
9.14729 throughout	322	-9.70160494414	-9.6731972137	0.028407730439
9.34178 normally	152	-10.2371231805	-10.2985822922	0.0614591116637
9.41523 afterwards	29	-12.6042467946	-12.279583761	0.324663033601
9.45128 anyhow	36	-11.9682580279	-12.2307935969	0.262535568949
10.3932 sensible	26	-12.2365220145	-12.636258705	0.399736690463
10.4606 twice	130	-10.8124873254	-10.7320212523	0.0804660730893
10.4846 merely	51	-11.5433748339	-11.74895551	0.205580676022
10.5262 anyone	831	-8.85343638279	-8.8407695158	0.0126668669903
12.4997 insofar	6	-13.1920334595	-15.2753160346	2.08328257505
13.0314 hereby	70	-11.4002739903	-11.5864365805	0.186162590165
13.0612 whereby	88	-11.1379097258	-11.286331988	0.148422262182
13.0743 ours	61	-11.505634506	-11.7199679731	0.214333467131
13.2114 inward	10	-12.8555612229	-14.1767037459	1.321142523
14.4504 specifying	9	-14.801471372	-13.1958744929	1.60559687906
15.1964 placed	416	-9.47359520318	-9.5101249318	0.0365297286212
17.1422 gone	301	-9.82473762955	-9.88168848823	0.0569508586847
17.296 et	250	-9.69552589807	-9.62634179642	0.0691841016442
17.6139 nowhere	29	-12.0288826497	-12.636258705	0.607376055241
17.9599 six	497	-9.11449601563	-9.15063264369	0.0361366280621
18.86 thereby	86	-11.4002739903	-11.1809714724	0.219302517943
18.8904 inner	14	-12.3165647222	-13.6658781221	1.34931339997
19.3159 usually	213	-10.3355632533	-10.2448781132	0.0906851401214
19.7724 whereas	39	-12.3165647222	-11.8095801318	0.506984590395
20.564 whole	461	-9.45913712	-9.41452981112	0.0446073088846
20.708 yourselves	31	-11.9682580279	-12.636258705	0.668000677057
20.9948 somebody	107	-10.8894483665	-11.0856612926	0.196212926018
21.2135 theirs	25	-12.0288826497	-12.8774207618	0.848538112058
21.4311 enough	707	-8.86657717635	-8.89688985093	0.0303126745845
21.7463 regardless	183	-10.5819636668	-10.4631316792	0.11883198758
22.0116 further	1859	-7.93766798051	-7.94950853199	0.0118405514737
22.1188 everybody	140	-10.5529761299	-10.7109678431	0.157991713198
22.9796 unto	9	-12.7220298303	-15.2753160346	2.5532862043
23.6911 whoever	61	-11.8570323928	-11.4686535448	0.388378847987
23.8283 hardly	47	-12.0934211709	-11.5864365805	0.506984590395
24.2826 ignored	36	-11.7104289186	-12.3849442767	0.674515358079
26.8247 sub	154	-10.3826307642	-10.5568171633	0.174186399118
26.9892 latter	61	-11.9110996141	-11.4686535448	0.442446069258
27.0193 per	1856	-7.48758454033	-7.5021423541	0.0145578137674
27.0679 wherever	29	-11.8570323928	-12.7904093848	0.933376991995
27.1719 among	670	-8.83276381198	-8.79220868313	0.0405551288554
27.1809 becoming	143	-10.6425882886	-10.8326647781	0.190076489486
27.4898 secondly	44	-12.4035760992	-11.7788084731	0.624767626052
27.9021 viz	15	-12.3165647222	-14.1767037459	1.86013902374
28.4301 whatever	302	-10.0223478789	-9.92820850387	0.0941393749895
29.6371 whenever	77	-11.0402712563	-11.4251684329	0.3848971766
30.1546 those	1716	-7.70557815087	-7.68800552856	0.0175726223086
30.3688 ought	50	-11.3357354692	-11.9431115244	0.607376055241
30.4246 seen	568	-8.98734084014	-9.04090530886	0.0535644687232
30.688 himself	157	-10.4070222173	-10.6024872001	0.195464982827
31.2226 ain	41	-11.4692668618	-12.2307935969	0.761526735068
32.5813 reasonably	41	-12.6042467946	-11.8095801318	0.794666662847
32.9888 thereafter	89	-10.9728299755	-11.3434904019	0.370660426381
33.1276 shall	1018	-8.42644655214	-8.39390473094	0.032541821198
34.0022 hadn	46	-12.4035760992	-11.6643981219	0.739177977229
35.5698 downwards	1	-50.8451247611	-15.2753160346	35.5698087265
36.486 nine	175	-10.2688718788	-10.060380277	0.208491601839
37.4815 less	1197	-8.22918882927	-8.26050168331	0.0313128540349
37.6246 thanx	34	-12.8555612229	-11.74895551	1.10660571294
39.5874 ones	266	-9.87421768681	-10.0230426065	0.148824919727
40.3937 beside	32	-11.7104289186	-12.9727309416	1.26230202298
41.0602 tries	45	-12.1624140424	-11.2499643438	0.912449698503
41.7028 lately	72	-11.1125919179	-11.6917970961	0.579205178274
42.9429 entirely	113	-10.6905975078	-11.0706234152	0.380025907399
43.9628 themselves	231	-10.1475110218	-9.95719604074	0.19031498107
44.0282 into	3567	-6.97343333984	-6.98577654996	0.0123432101182
45.0483 anyways	19	-11.8057390984	-14.1767037459	2.3709646475
46.1836 hi	1621	-8.20979763996	-8.2382884199	0.0284907799389
46.7766 somewhere	103	-11.2751108474	-10.8209687383	0.454142109021
46.9413 tends	19	-14.801471372	-12.3308770554	2.47059431655
47.071 three	1300	-8.1460310216	-8.10982255952	0.0362084620767
47.0881 getting	1174	-8.47711240959	-8.51722153016	0.0401091205701
49.8948 instead	539	-9.22174154598	-9.31431069496	0.0925691489794
50.0419 thoroughly	43	-12.8555612229	-11.6917970961	1.16376412678
50.277 below	2719	-7.55652982563	-7.57502083116	0.0184910055334
50.2902 keep	1534	-8.1629035828	-8.13011989959	0.0327836832142
51.2107 therefore	798	-8.96958889468	-8.90541505175	0.0641738429282
52.2778 containing	114	-10.6270841021	-11.0856612926	0.458577190486
52.9899 really	1154	-8.35416550943	-8.40008394731	0.0459184378811
53.1335 myself	508	-9.48826539292	-9.38367182276	0.104593570168
54.445 happens	169	-10.7071268097	-10.3849669064	0.322159903383
55.4034 indicates	134	-11.0638017537	-10.6503432213	0.413458532384
55.9221 saw	255	-10.1009910062	-9.88168848823	0.219302517943
56.0384 knows	262	-9.94944110805	-10.1633282462	0.21388713818
57.4682 cant	34	-11.505634506	-13.1958744929	1.69023998694
59.0809 nevertheless	61	-12.2365220145	-11.2679828494	0.968539165154
59.181 herself	36	-11.434175542	-13.0780914572	1.64391591527
62.0523 these	4109	-6.81258911866	-6.79748756669	0.0151015519683
65.6469 respectively	91	-11.665977156	-10.9445826943	0.721394461741
68.0748 uses	238	-10.0056808264	-10.2917094129	0.286028586505
